question_id,question_type,ticker,year,status,matched_chunk_ids,score,evidence_valid
AAPL_2025_NUMERIC_FACT_87f37103,numeric_fact,AAPL,,remapped_fuzzy,AAPL_2025_AAPL_Apple_2025_10K_39055237_narrative_0024,0.804,True
AAPL_2025_NUMERIC_FACT_01b17ed7,numeric_fact,AAPL,,remapped_fuzzy,AAPL_2025_AAPL_Apple_2025_10K_39055237_narrative_0026,0.6714,True
AAPL_2025_NUMERIC_FACT_7bf60a5b,numeric_fact,AAPL,,missing,,0.4299,False
AAPL_2025_NUMERIC_FACT_798af295,numeric_fact,AAPL,,remapped_fuzzy,AAPL_2025_AAPL_Apple_2025_10K_39055237_narrative_0044,0.8342,True
AAPL_2025_NUMERIC_FACT_1d8568a6,numeric_fact,AAPL,,remapped_exact,AAPL_2025_AAPL_Apple_2025_10K_39055237_narrative_0045,1.07,True
AAPL_2025_NUMERIC_FACT_8c24b78c,numeric_fact,AAPL,,remapped_fuzzy,AAPL_2025_AAPL_Apple_2025_10K_39055237_narrative_0057,0.9118,True
AAPL_2025_NUMERIC_FACT_e8393a7f,numeric_fact,AAPL,,remapped_fuzzy,AAPL_2025_AAPL_Apple_2025_10K_39055237_narrative_0058,0.7806,True
AAPL_2025_NUMERIC_FACT_1fd4ea85,numeric_fact,AAPL,,remapped_fuzzy,AAPL_2025_AAPL_Apple_2025_10K_39055237_narrative_0061,0.7984,True
AAPL_2025_NUMERIC_FACT_080ba473,numeric_fact,AAPL,,remapped_fuzzy,AAPL_2025_AAPL_Apple_2025_10K_39055237_narrative_0063,0.8881,True
AAPL_2025_NUMERIC_FACT_7f3df982,numeric_fact,AAPL,,remapped_exact,AAPL_2025_AAPL_Apple_2025_10K_39055237_narrative_0069,1.1,True
AAPL_2025_NUMERIC_FACT_9c908420,numeric_fact,AAPL,,remapped_fuzzy,AAPL_2025_AAPL_Apple_2025_10K_39055237_narrative_0071,0.6333,True
AAPL_2025_NUMERIC_FACT_7870fb8b,numeric_fact,AAPL,,remapped_exact,AAPL_2025_AAPL_Apple_2025_10K_39055237_narrative_0072,1.1,True
AMZN_2025_NUMERIC_FACT_ff1491ea,numeric_fact,AMZN,,remapped_fuzzy,AMZN_2025_AMZN_Amazon_2025_10K_56269949_narrative_0039,0.7015,True
AMZN_2025_NUMERIC_FACT_d8a631a1,numeric_fact,AMZN,,remapped_exact,AMZN_2025_AMZN_Amazon_2025_10K_56269949_narrative_0043,1.1,True
AMZN_2025_NUMERIC_FACT_5c449187,numeric_fact,AMZN,,remapped_fuzzy,AMZN_2025_AMZN_Amazon_2025_10K_56269949_narrative_0044,0.8024,True
AMZN_2025_NUMERIC_FACT_7553835f,numeric_fact,AMZN,,remapped_fuzzy,AMZN_2025_AMZN_Amazon_2025_10K_56269949_narrative_0046,0.8474,True
AMZN_2025_NUMERIC_FACT_70858911,numeric_fact,AMZN,,remapped_exact,AMZN_2025_AMZN_Amazon_2025_10K_56269949_narrative_0047,1.1,True
AMZN_2025_NUMERIC_FACT_59cf5e36,numeric_fact,AMZN,,remapped_exact,AMZN_2025_AMZN_Amazon_2025_10K_56269949_narrative_0050,1.1,True
AMZN_2025_NUMERIC_FACT_b15324d4,numeric_fact,AMZN,,remapped_fuzzy,AMZN_2025_AMZN_Amazon_2025_10K_56269949_narrative_0051,0.6746,True
AMZN_2025_NUMERIC_FACT_027f3530,numeric_fact,AMZN,,remapped_fuzzy,AMZN_2025_AMZN_Amazon_2025_10K_56269949_narrative_0053,0.9,True
AMZN_2025_NUMERIC_FACT_86c42d84,numeric_fact,AMZN,,remapped_fuzzy,AMZN_2025_AMZN_Amazon_2025_10K_56269949_narrative_0054,0.7429,True
GOOG_2025_NUMERIC_FACT_c019e62f,numeric_fact,GOOG,,remapped_exact,GOOG_2025_GOOG_Google_2025_10K_6c3aa20a_narrative_0052,1.07,True
GOOG_2025_NUMERIC_FACT_d2a2f49c,numeric_fact,GOOG,,remapped_exact,GOOG_2025_GOOG_Google_2025_10K_6c3aa20a_narrative_0062,1.1,True
GOOG_2025_NUMERIC_FACT_d3b1e794,numeric_fact,GOOG,,remapped_exact,GOOG_2025_GOOG_Google_2025_10K_6c3aa20a_narrative_0063,1.1,True
GOOG_2025_NUMERIC_FACT_cdd9d072,numeric_fact,GOOG,,remapped_fuzzy,GOOG_2025_GOOG_Google_2025_10K_6c3aa20a_narrative_0064,0.8508,True
GOOG_2025_NUMERIC_FACT_6c66adff,numeric_fact,GOOG,,remapped_fuzzy,GOOG_2025_GOOG_Google_2025_10K_6c3aa20a_narrative_0066,0.8778,True
GOOG_2025_NUMERIC_FACT_f34d7971,numeric_fact,GOOG,,remapped_fuzzy,GOOG_2025_GOOG_Google_2025_10K_6c3aa20a_narrative_0068,0.6744,True
GOOG_2025_NUMERIC_FACT_7a923ada,numeric_fact,GOOG,,remapped_exact,GOOG_2025_GOOG_Google_2025_10K_6c3aa20a_narrative_0070,1.1,True
GOOG_2025_NUMERIC_FACT_eb0669ed,numeric_fact,GOOG,,remapped_exact,GOOG_2025_GOOG_Google_2025_10K_6c3aa20a_narrative_0071,1.1,True
META_2025_NUMERIC_FACT_37d5a484,numeric_fact,META,,remapped_fuzzy,META_2025_META_Meta_2025_10K_2d479b16_narrative_0506,0.7545,True
META_2025_NUMERIC_FACT_c8b1f191,numeric_fact,META,,remapped_exact,META_2025_META_Meta_2025_10K_2d479b16_narrative_0037,1.07,True
META_2025_NUMERIC_FACT_944a90b3,numeric_fact,META,,remapped_fuzzy,META_2025_META_Meta_2025_10K_2d479b16_narrative_0042,0.7759,True
META_2025_NUMERIC_FACT_8253babd,numeric_fact,META,,remapped_exact,META_2025_META_Meta_2025_10K_2d479b16_narrative_0043,1.07,True
META_2025_NUMERIC_FACT_333a7257,numeric_fact,META,,remapped_fuzzy,META_2025_META_Meta_2025_10K_2d479b16_narrative_0046,0.8586,True
META_2025_NUMERIC_FACT_25ef3ab4,numeric_fact,META,,remapped_exact,META_2025_META_Meta_2025_10K_2d479b16_narrative_0048,1.07,True
META_2025_NUMERIC_FACT_170e2b3b,numeric_fact,META,,remapped_fuzzy,META_2025_META_Meta_2025_10K_2d479b16_narrative_0049,0.7511,True
META_2025_NUMERIC_FACT_f6411cbf,numeric_fact,META,,remapped_exact,META_2025_META_Meta_2025_10K_2d479b16_narrative_0054,1.1,True
META_2025_NUMERIC_FACT_0166ad41,numeric_fact,META,,remapped_fuzzy,META_2025_META_Meta_2025_10K_2d479b16_narrative_0060,0.7211,True
MSFT_2025_NUMERIC_FACT_9191bfbf,numeric_fact,MSFT,,remapped_fuzzy,MSFT_2025_MSFT_Microsoft_2025_10K_cd44566e_narrative_0030,0.8433,True
MSFT_2025_NUMERIC_FACT_9f2605b4,numeric_fact,MSFT,,missing,,0.4947,False
MSFT_2025_NUMERIC_FACT_d7b97e2a,numeric_fact,MSFT,,remapped_exact,MSFT_2025_MSFT_Microsoft_2025_10K_cd44566e_narrative_0047,1.07,True
MSFT_2025_NUMERIC_FACT_9f4d9c0e,numeric_fact,MSFT,,remapped_exact,MSFT_2025_MSFT_Microsoft_2025_10K_cd44566e_narrative_0048,1.1,True
MSFT_2025_NUMERIC_FACT_4ceeac5f,numeric_fact,MSFT,,remapped_fuzzy,MSFT_2025_MSFT_Microsoft_2025_10K_cd44566e_narrative_0053,0.868,True
MSFT_2025_NUMERIC_FACT_40e04007,numeric_fact,MSFT,,remapped_fuzzy,MSFT_2025_MSFT_Microsoft_2025_10K_cd44566e_narrative_0054,0.8792,True
MSFT_2025_NUMERIC_FACT_2f692fd7,numeric_fact,MSFT,,remapped_fuzzy,MSFT_2025_MSFT_Microsoft_2025_10K_cd44566e_narrative_0057,0.8304,True
MSFT_2025_NUMERIC_FACT_cc63424c,numeric_fact,MSFT,,remapped_normalized,MSFT_2025_MSFT_Microsoft_2025_10K_cd44566e_narrative_0059,1.05,True
MSFT_2025_NUMERIC_FACT_2296810a,numeric_fact,MSFT,,remapped_fuzzy,MSFT_2025_MSFT_Microsoft_2025_10K_cd44566e_narrative_0061,1.0548,True
MSFT_2025_NUMERIC_FACT_3bde62ed,numeric_fact,MSFT,,remapped_fuzzy,MSFT_2025_MSFT_Microsoft_2025_10K_cd44566e_narrative_0062,0.8642,True
NVDA_2025_NUMERIC_FACT_03f2e395,numeric_fact,NVDA,,remapped_fuzzy,NVDA_2025_NVDA_NVIDIA_2025_10K_1c1d8239_narrative_0044,0.8279,True
NVDA_2025_NUMERIC_FACT_6bb5452f,numeric_fact,NVDA,,remapped_exact,NVDA_2025_NVDA_NVIDIA_2025_10K_1c1d8239_narrative_0045,1.07,True
NVDA_2025_NUMERIC_FACT_379456e3,numeric_fact,NVDA,,remapped_fuzzy,NVDA_2025_NVDA_NVIDIA_2025_10K_1c1d8239_narrative_0047,0.7852,True
NVDA_2025_NUMERIC_FACT_7f0b28ee,numeric_fact,NVDA,,remapped_exact,NVDA_2025_NVDA_NVIDIA_2025_10K_1c1d8239_narrative_0071,1.1,True
NVDA_2025_NUMERIC_FACT_163719a3,numeric_fact,NVDA,,remapped_fuzzy,NVDA_2025_NVDA_NVIDIA_2025_10K_1c1d8239_narrative_0072,0.7222,True
NVDA_2025_NUMERIC_FACT_d3963fb5,numeric_fact,NVDA,,remapped_exact,NVDA_2025_NVDA_NVIDIA_2025_10K_1c1d8239_narrative_0074,1.1,True
NVDA_2025_NUMERIC_FACT_a5a995e3,numeric_fact,NVDA,,remapped_fuzzy,NVDA_2025_NVDA_NVIDIA_2025_10K_1c1d8239_narrative_0075,0.8203,True
NVDA_2025_NUMERIC_FACT_aa742ed6,numeric_fact,NVDA,,remapped_fuzzy,NVDA_2025_NVDA_NVIDIA_2025_10K_1c1d8239_narrative_0077,0.8873,True
NVDA_2025_NUMERIC_FACT_be096900,numeric_fact,NVDA,,remapped_fuzzy,NVDA_2025_NVDA_NVIDIA_2025_10K_1c1d8239_narrative_0078,0.8675,True
TSLA_2025_NUMERIC_FACT_cb26f4ec,numeric_fact,TSLA,,remapped_fuzzy,TSLA_2025_TSLA_Tesla_2025_10K_4694b3e3_narrative_0040,0.8357,True
TSLA_2025_NUMERIC_FACT_e5e08578,numeric_fact,TSLA,,remapped_fuzzy,TSLA_2025_TSLA_Tesla_2025_10K_4694b3e3_narrative_0048,0.8875,True
TSLA_2025_NUMERIC_FACT_7e39bf9f,numeric_fact,TSLA,,remapped_fuzzy,TSLA_2025_TSLA_Tesla_2025_10K_4694b3e3_narrative_0050,0.7971,True
TSLA_2025_NUMERIC_FACT_7e59f4e1,numeric_fact,TSLA,,remapped_fuzzy,TSLA_2025_TSLA_Tesla_2025_10K_4694b3e3_narrative_0064,0.886,True
TSLA_2025_NUMERIC_FACT_80d49749,numeric_fact,TSLA,,remapped_fuzzy,TSLA_2025_TSLA_Tesla_2025_10K_4694b3e3_narrative_0065,0.8886,True
TSLA_2025_NUMERIC_FACT_ffc42d00,numeric_fact,TSLA,,remapped_fuzzy,TSLA_2025_TSLA_Tesla_2025_10K_4694b3e3_narrative_0066,0.8176,True
TSLA_2025_NUMERIC_FACT_3ead3f20,numeric_fact,TSLA,,remapped_fuzzy,TSLA_2025_TSLA_Tesla_2025_10K_4694b3e3_narrative_0068,0.8027,True
TSLA_2025_NUMERIC_FACT_51bc6b2a,numeric_fact,TSLA,,remapped_fuzzy,TSLA_2025_TSLA_Tesla_2025_10K_4694b3e3_narrative_0069,0.8792,True
TSLA_2025_NUMERIC_FACT_7052f5e1,numeric_fact,TSLA,,remapped_fuzzy,TSLA_2025_TSLA_Tesla_2025_10K_4694b3e3_narrative_0071,0.7632,True
TSLA_2025_NUMERIC_FACT_a9bff147,numeric_fact,TSLA,,remapped_exact,TSLA_2025_TSLA_Tesla_2025_10K_4694b3e3_narrative_0072,1.1,True
AAPL_2025_TEXT_FACT_4011dcad,text_fact,AAPL,,remapped_exact,AAPL_2025_AAPL_Apple_2025_10K_39055237_narrative_0060,1.1,True
AMZN_2025_TEXT_FACT_0fff1941,text_fact,AMZN,,remapped_exact,AMZN_2025_AMZN_Amazon_2025_10K_56269949_narrative_0062,1.1,True
GOOG_2025_TEXT_FACT_be5aec04,text_fact,GOOG,,remapped_exact,GOOG_2025_GOOG_Google_2025_10K_6c3aa20a_narrative_0050,1.07,True
META_2025_TEXT_FACT_e6021a44,text_fact,META,,remapped_exact,META_2025_META_Meta_2025_10K_2d479b16_narrative_0055,1.1,True
MSFT_2025_TEXT_FACT_4132d514,text_fact,MSFT,,remapped_exact,MSFT_2025_MSFT_Microsoft_2025_10K_cd44566e_narrative_0049,1.1,True
