question_id,question,answer,normalized_answer,answer_aliases,ticker,company,year,question_type,source_section,source_type,gold_evidence_text,relevant_chunk_ids,expected_refusal,question_quality,reject_reason,calculation,difficulty,evidence_match_score,evidence_valid,fact_id,fact_type,filing_year,fiscal_year,generation_mode,generation_model,gold_chunk_id,negative_type,notes,plausible_because,requires_calculation,reviewer_notes,semantic_rejection_reasons,source_chunk_id,unsupported_because,validation_notes
AAPL_2025_TEXT_FACT_4011dcad,What reportable segments or business units did Apple describe in fiscal 2025?,"The Company’s reportable segments consist of the Americas, Europe, Greater China, Japan and Rest of Asia Pacific.","The Company’s reportable segments consist of the Americas, Europe, Greater China, Japan and Rest of Asia Pacific.","[""The Company’s reportable segments consist of the Americas, Europe, Greater China, Japan and Rest of Asia Pacific.""]",AAPL,Apple,2025,text_fact,Item 1,narrative,"The Company’s reportable segments consist of the Americas, Europe, Greater China, Japan and Rest of Asia Pacific.","[""AAPL_2025_AAPL_Apple_2025_10K_39055237_narrative_0060""]",False,research_valid,,,easy,1.1,True,AAPL_2025_SEGM_32c8d3a1,,2025,2025,,,AAPL_2025_AAPL_Apple_2025_10K_39055237_narrative_0060,,Seeded from deterministic filing fact inventory.,,False,,[],AAPL_2025_10K_table_aware_256_000008_68bd6d,,relevant_chunk_ids remapped from gold_evidence_text (exact)
TSLA_2025_TEXT_FACT_9f822d5c,What reportable segments or business units did Tesla describe in fiscal 2025?,Segment Information We operate as two reportable segments: (i) automotive and (ii) energy generation and storage.,Segment Information We operate as two reportable segments: (i) automotive and (ii) energy generation and storage.,"[""Segment Information We operate as two reportable segments: (i) automotive and (ii) energy generation and storage.""]",TSLA,Tesla,2025,text_fact,Item 1,narrative,Segment Information We operate as two reportable segments: (i) automotive and (ii) energy generation and storage.,"[""TSLA_2025_TSLA_Tesla_2025_10K_4694b3e3_narrative_0048""]",False,research_valid,,,easy,1.1,True,TSLA_2025_SEGM_f096289e,,2025,2025,,,TSLA_2025_TSLA_Tesla_2025_10K_4694b3e3_narrative_0048,,Seeded from deterministic filing fact inventory.,,False,,[],TSLA_2025_10K_table_aware_256_001715_776f2b,,relevant_chunk_ids remapped from gold_evidence_text (exact)
AAPL_2025_EXPLANATION_ac3df4d4,"According to Apple's fiscal 2025 10-K, what drove or explained research and development because the industries in which?","Research and Development Because the industries in which the Company competes are characterized by rapid technological advances, the Company’s ability to compete successfully depends heavily upon its ","Research and Development Because the industries in which the Company competes are characterized by rapid technological advances, the Company’s ability to compete successfully depends heavily upon its ","[""Research and Development Because the industries in which the Company competes are characterized by rapid technological advances, the Company’s ability to compete successfully depends heavily upon its ""]",AAPL,Apple,2025,explanation,Item 1,narrative,"Research and Development Because the industries in which the Company competes are characterized by rapid technological advances, the Company’s ability to compete successfully depends heavily upon its ability to ensure a continual","[""AAPL_2025_AAPL_Apple_2025_10K_39055237_narrative_0067""]",False,research_valid,,,medium,1.1,True,AAPL_2025_EXPL_faa01e32,,2025,2025,,,AAPL_2025_AAPL_Apple_2025_10K_39055237_narrative_0067,,Seeded from deterministic filing fact inventory.,,False,,[],AAPL_2025_10K_table_aware_256_000012_7b2e79,,relevant_chunk_ids remapped from gold_evidence_text (exact)
AAPL_2025_EXPLANATION_74449cd9,"According to Apple's fiscal 2025 10-K, what drove or explained major public health issues including pandemics such as?","Major public health issues, including pandemics such as the COVID-19 pandemic, have adversely affected, and could in the future materially adversely affect, the Company due to their impact on the glob","Major public health issues, including pandemics such as the COVID-19 pandemic, have adversely affected, and could in the future materially adversely affect, the Company due to their impact on the glob","[""Major public health issues, including pandemics such as the COVID-19 pandemic, have adversely affected, and could in the future materially adversely affect, the Company due to their impact on the glob""]",AAPL,Apple,2025,explanation,Item 1A,narrative,"Major public health issues, including pandemics such as the COVID-19 pandemic, have adversely affected, and could in the future materially adversely affect, the Company due to their impact on the global economy and demand for consumer products; the imposition of protective public safety measures, such as stringent employee travel restrictions and limitations on freight services and the movement of products between regions; and disruptions in the Company’s operations, supply chain and sales and distribution channels, resulting in interruptions to the supply of current products and offering of existing services, and delays in production ramps of new products and development of new services.","[""AAPL_2025_AAPL_Apple_2025_10K_39055237_narrative_0101""]",False,research_valid,,,medium,1.1,True,AAPL_2025_EXPL_e70a2f62,,2025,2025,,,AAPL_2025_AAPL_Apple_2025_10K_39055237_narrative_0101,,Seeded from deterministic filing fact inventory.,,False,,[],AAPL_2025_10K_table_aware_256_000024_720f94,,relevant_chunk_ids remapped from gold_evidence_text (exact)
AAPL_2025_EXPLANATION_a38bb9a4,"According to Apple's fiscal 2025 10-K, what drove or explained because the company relies on single or limited?","Because the Company relies on single or limited sources for the supply and manufacture of many critical components, a business interruption affecting such sources would exacerbate any negative consequ","Because the Company relies on single or limited sources for the supply and manufacture of many critical components, a business interruption affecting such sources would exacerbate any negative consequ","[""Because the Company relies on single or limited sources for the supply and manufacture of many critical components, a business interruption affecting such sources would exacerbate any negative consequ""]",AAPL,Apple,2025,explanation,Item 1A,narrative,"Because the Company relies on single or limited sources for the supply and manufacture of many critical components, a business interruption affecting such sources would exacerbate any negative consequences to the Company.","[""AAPL_2025_AAPL_Apple_2025_10K_39055237_narrative_0102""]",False,research_valid,,,medium,1.1,True,AAPL_2025_EXPL_0ee07e30,,2025,2025,,,AAPL_2025_AAPL_Apple_2025_10K_39055237_narrative_0102,,Seeded from deterministic filing fact inventory.,,False,,[],AAPL_2025_10K_table_aware_256_000025_d8e5db,,relevant_chunk_ids remapped from gold_evidence_text (exact)
AAPL_2025_EXPLANATION_1b1734db,"According to Apple's fiscal 2025 10-K, what drove or explained due to the highly volatile and competitive nature?","Due to the highly volatile and competitive nature of the markets and industries in which the Company competes, the Company must continually introduce new products, services and technologies, enhance e","Due to the highly volatile and competitive nature of the markets and industries in which the Company competes, the Company must continually introduce new products, services and technologies, enhance e","[""Due to the highly volatile and competitive nature of the markets and industries in which the Company competes, the Company must continually introduce new products, services and technologies, enhance e""]",AAPL,Apple,2025,explanation,Item 1A,narrative,"Due to the highly volatile and competitive nature of the markets and industries in which the Company competes, the Company must continually introduce new products, services and technologies, enhance existing products and services, effectively stimulate customer demand for new and upgraded products and services, navigate global regulatory requirements and barriers to market access, and successfully manage the transition to these new and upgraded products and services.","[""AAPL_2025_AAPL_Apple_2025_10K_39055237_narrative_0107""]",False,research_valid,,,medium,1.1,True,AAPL_2025_EXPL_4b354778,,2025,2025,,,AAPL_2025_AAPL_Apple_2025_10K_39055237_narrative_0107,,Seeded from deterministic filing fact inventory.,,False,,[],AAPL_2025_10K_table_aware_256_000028_6444a2,,relevant_chunk_ids remapped from gold_evidence_text (exact)
AAPL_2025_EXPLANATION_1c53cfe5,"According to Apple's fiscal 2025 10-K, what drove or explained because the company currently obtains certain components from?","Because the Company currently obtains certain components from single or limited sources, the Company is subject to significant supply and pricing risks.","Because the Company currently obtains certain components from single or limited sources, the Company is subject to significant supply and pricing risks.","[""Because the Company currently obtains certain components from single or limited sources, the Company is subject to significant supply and pricing risks.""]",AAPL,Apple,2025,explanation,Item 1A,narrative,"Because the Company currently obtains certain components from single or limited sources, the Company is subject to significant supply and pricing risks.","[""AAPL_2025_AAPL_Apple_2025_10K_39055237_narrative_0111""]",False,research_valid,,,medium,1.1,True,AAPL_2025_EXPL_5d2d25cd,,2025,2025,,,AAPL_2025_AAPL_Apple_2025_10K_39055237_narrative_0111,,Seeded from deterministic filing fact inventory.,,False,,[],AAPL_2025_10K_table_aware_256_000031_a6218c,,relevant_chunk_ids remapped from gold_evidence_text (exact)
AAPL_2025_EXPLANATION_7c4d05ee,"According to Apple's fiscal 2025 10-K, what drove or explained because the company s markets are volatile competitive?","Because the Company’s markets are volatile, competitive and subject to rapid technology and price changes, there is a risk the Company will forecast incorrectly and order or produce excess or insuffic","Because the Company’s markets are volatile, competitive and subject to rapid technology and price changes, there is a risk the Company will forecast incorrectly and order or produce excess or insuffic","[""Because the Company’s markets are volatile, competitive and subject to rapid technology and price changes, there is a risk the Company will forecast incorrectly and order or produce excess or insuffic""]",AAPL,Apple,2025,explanation,Item 1A,narrative,"Because the Company’s markets are volatile, competitive and subject to rapid technology and price changes, there is a risk the Company will forecast incorrectly and order or produce excess or insufficient amounts of components or products, or not fully utilize purchase commitments.","[""AAPL_2025_AAPL_Apple_2025_10K_39055237_narrative_0117""]",False,research_valid,,,medium,1.1,True,AAPL_2025_EXPL_3743756c,,2025,2025,,,AAPL_2025_AAPL_Apple_2025_10K_39055237_narrative_0117,,Seeded from deterministic filing fact inventory.,,False,,[],AAPL_2025_10K_table_aware_256_000035_bdf1e4,,relevant_chunk_ids remapped from gold_evidence_text (exact)
AAPL_2025_EXPLANATION_1f9e8384,"According to Apple's fiscal 2025 10-K, what drove or explained the company also produces its own digital content?","The Company also produces its own digital content, which can be costly to produce due to intense and increasing competition for talent, content and subscribers, and may fail to appeal to the Company’s","The Company also produces its own digital content, which can be costly to produce due to intense and increasing competition for talent, content and subscribers, and may fail to appeal to the Company’s","[""The Company also produces its own digital content, which can be costly to produce due to intense and increasing competition for talent, content and subscribers, and may fail to appeal to the Company’s""]",AAPL,Apple,2025,explanation,Item 1A,narrative,"The Company also produces its own digital content, which can be costly to produce due to intense and increasing competition for talent, content and subscribers, and may fail to appeal to the Company’s customers.","[""AAPL_2025_AAPL_Apple_2025_10K_39055237_narrative_0124""]",False,research_valid,,,medium,1.1,True,AAPL_2025_EXPL_2f17f1cb,,2025,2025,,,AAPL_2025_AAPL_Apple_2025_10K_39055237_narrative_0124,,Seeded from deterministic filing fact inventory.,,False,,[],AAPL_2025_10K_table_aware_256_000040_ea80c9,,relevant_chunk_ids remapped from gold_evidence_text (exact)
AAPL_2025_EXPLANATION_6d431ce3,"According to Apple's fiscal 2025 10-K, what drove or explained although malicious attacks perpetrated to gain access to?","Although malicious attacks perpetrated to gain access to confidential information, including personal information, affect many companies across various industries, the Company is at a relatively great","Although malicious attacks perpetrated to gain access to confidential information, including personal information, affect many companies across various industries, the Company is at a relatively great","[""Although malicious attacks perpetrated to gain access to confidential information, including personal information, affect many companies across various industries, the Company is at a relatively great""]",AAPL,Apple,2025,explanation,Item 1A,narrative,"Although malicious attacks perpetrated to gain access to confidential information, including personal information, affect many companies across various industries, the Company is at a relatively greater risk of being targeted because of its high profile and the value of the confidential information it creates, owns, manages, stores and processes.","[""AAPL_2025_AAPL_Apple_2025_10K_39055237_narrative_0132""]",False,research_valid,,,medium,1.1,True,AAPL_2025_EXPL_5a439291,,2025,2025,,,AAPL_2025_AAPL_Apple_2025_10K_39055237_narrative_0132,,Seeded from deterministic filing fact inventory.,,False,,[],AAPL_2025_10K_table_aware_256_000045_738c04,,relevant_chunk_ids remapped from gold_evidence_text (exact)
