category,value,count
total,input_questions,271
total,accepted_research_valid,108
total,rejected_or_structural,163
rejected_by_reason,vague_question,63
rejected_by_reason,toc_item_number_answer,35
rejected_by_reason,table_of_contents_question,30
rejected_by_reason,malformed_question,14
rejected_by_reason,not_financial_or_operational,11
rejected_by_reason,boilerplate_evidence,5
rejected_by_reason,incidental_year_answer,4
rejected_by_reason,unsupported_answer,1
accepted_by_question_type,explanation,104
accepted_by_question_type,text_fact,4
accepted_by_ticker,AAPL,19
accepted_by_ticker,TSLA,19
accepted_by_ticker,GOOG,17
accepted_by_ticker,NVDA,16
accepted_by_ticker,AMZN,14
accepted_by_ticker,MSFT,13
accepted_by_ticker,META,10
accepted_by_company,Apple,19
accepted_by_company,Tesla,19
accepted_by_company,Google,17
accepted_by_company,Nvidia,16
accepted_by_company,Amazon,14
accepted_by_company,Microsoft,13
accepted_by_company,Meta,10
