question_id,system,failure_type,exact_match,token_f1,numeric_accuracy,answer_coverage_at_3,noise_reason
AAPL_2025_NUMERIC_FACT_87f37103,baseline_gpt,numeric_unit_error,False,0.0,False,,none
AAPL_2025_NUMERIC_FACT_87f37103,rag_gpt_tfidf_top3,correct,False,0.0,True,True,none
AAPL_2025_NUMERIC_FACT_87f37103,oracle_gpt,numeric_unit_error,False,0.0,False,True,none
AAPL_2025_NUMERIC_FACT_87f37103,random_context_gpt,numeric_unit_error,False,0.0,False,True,none
AAPL_2025_NUMERIC_FACT_01b17ed7,baseline_gpt,numeric_unit_error,False,0.0,False,,none
AAPL_2025_NUMERIC_FACT_01b17ed7,rag_gpt_tfidf_top3,correct,False,0.0,True,True,none
AAPL_2025_NUMERIC_FACT_01b17ed7,oracle_gpt,numeric_unit_error,False,0.0,False,True,none
AAPL_2025_NUMERIC_FACT_01b17ed7,random_context_gpt,numeric_unit_error,False,0.0,False,True,none
AAPL_2025_NUMERIC_FACT_7bf60a5b,baseline_gpt,wrong_section,False,0.0,False,,wrong_section
AAPL_2025_NUMERIC_FACT_7bf60a5b,rag_gpt_tfidf_top3,wrong_section,False,0.0,False,False,wrong_section
AAPL_2025_NUMERIC_FACT_7bf60a5b,oracle_gpt,wrong_section,False,0.0,False,True,wrong_section
AAPL_2025_NUMERIC_FACT_7bf60a5b,random_context_gpt,wrong_section,False,0.0,False,False,wrong_section
AAPL_2025_NUMERIC_FACT_798af295,baseline_gpt,answer_split_across_chunks,False,0.0,False,,answer_split_across_chunks
AAPL_2025_NUMERIC_FACT_798af295,rag_gpt_tfidf_top3,correct,False,0.0,True,False,answer_split_across_chunks
AAPL_2025_NUMERIC_FACT_798af295,oracle_gpt,answer_split_across_chunks,False,0.0,False,True,answer_split_across_chunks
AAPL_2025_NUMERIC_FACT_798af295,random_context_gpt,answer_split_across_chunks,False,0.0,False,True,answer_split_across_chunks
AAPL_2025_NUMERIC_FACT_1d8568a6,baseline_gpt,numeric_unit_error,False,0.0,False,,none
AAPL_2025_NUMERIC_FACT_1d8568a6,rag_gpt_tfidf_top3,correct,False,0.0,True,True,none
AAPL_2025_NUMERIC_FACT_1d8568a6,oracle_gpt,numeric_unit_error,False,0.0,False,True,none
AAPL_2025_NUMERIC_FACT_1d8568a6,random_context_gpt,numeric_unit_error,False,0.0,False,True,none
AAPL_2025_NUMERIC_FACT_8c24b78c,baseline_gpt,numeric_unit_error,False,0.0,False,,none
AAPL_2025_NUMERIC_FACT_8c24b78c,rag_gpt_tfidf_top3,correct,False,0.0,True,True,none
AAPL_2025_NUMERIC_FACT_8c24b78c,oracle_gpt,numeric_unit_error,False,0.0,False,True,none
AAPL_2025_NUMERIC_FACT_8c24b78c,random_context_gpt,numeric_unit_error,False,0.0,False,True,none
AAPL_2025_NUMERIC_FACT_e8393a7f,baseline_gpt,numeric_unit_error,False,0.0,False,,none
AAPL_2025_NUMERIC_FACT_e8393a7f,rag_gpt_tfidf_top3,correct,False,0.0,True,True,none
AAPL_2025_NUMERIC_FACT_e8393a7f,oracle_gpt,numeric_unit_error,False,0.0,False,True,none
AAPL_2025_NUMERIC_FACT_e8393a7f,random_context_gpt,numeric_unit_error,False,0.0,False,True,none
AAPL_2025_NUMERIC_FACT_1fd4ea85,baseline_gpt,numeric_unit_error,False,0.0,False,,none
AAPL_2025_NUMERIC_FACT_1fd4ea85,rag_gpt_tfidf_top3,correct,False,0.0,True,True,none
AAPL_2025_NUMERIC_FACT_1fd4ea85,oracle_gpt,numeric_unit_error,False,0.0,False,True,none
AAPL_2025_NUMERIC_FACT_1fd4ea85,random_context_gpt,numeric_unit_error,False,0.0,False,True,none
AAPL_2025_NUMERIC_FACT_080ba473,baseline_gpt,numeric_unit_error,False,0.0,False,,none
AAPL_2025_NUMERIC_FACT_080ba473,rag_gpt_tfidf_top3,correct,False,0.0,True,True,none
AAPL_2025_NUMERIC_FACT_080ba473,oracle_gpt,numeric_unit_error,False,0.0,False,True,none
AAPL_2025_NUMERIC_FACT_080ba473,random_context_gpt,numeric_unit_error,False,0.0,False,True,none
AAPL_2025_NUMERIC_FACT_7f3df982,baseline_gpt,numeric_unit_error,False,0.0,False,,none
AAPL_2025_NUMERIC_FACT_7f3df982,rag_gpt_tfidf_top3,correct,False,0.0,True,True,none
AAPL_2025_NUMERIC_FACT_7f3df982,oracle_gpt,numeric_unit_error,False,0.0,False,True,none
AAPL_2025_NUMERIC_FACT_7f3df982,random_context_gpt,numeric_unit_error,False,0.0,False,True,none
AAPL_2025_NUMERIC_FACT_9c908420,baseline_gpt,numeric_unit_error,False,0.0,False,,none
AAPL_2025_NUMERIC_FACT_9c908420,rag_gpt_tfidf_top3,correct,False,0.0,True,True,none
AAPL_2025_NUMERIC_FACT_9c908420,oracle_gpt,numeric_unit_error,False,0.0,False,True,none
AAPL_2025_NUMERIC_FACT_9c908420,random_context_gpt,numeric_unit_error,False,0.0,False,False,none
AAPL_2025_NUMERIC_FACT_7870fb8b,baseline_gpt,numeric_unit_error,False,0.0,False,,none
AAPL_2025_NUMERIC_FACT_7870fb8b,rag_gpt_tfidf_top3,correct,False,0.0,True,True,none
AAPL_2025_NUMERIC_FACT_7870fb8b,oracle_gpt,numeric_unit_error,False,0.0,False,True,none
AAPL_2025_NUMERIC_FACT_7870fb8b,random_context_gpt,numeric_unit_error,False,0.0,False,False,none
AMZN_2025_NUMERIC_FACT_ff1491ea,baseline_gpt,wrong_section,False,0.0,False,,wrong_section
AMZN_2025_NUMERIC_FACT_ff1491ea,rag_gpt_tfidf_top3,wrong_section,False,0.0,False,False,wrong_section
AMZN_2025_NUMERIC_FACT_ff1491ea,oracle_gpt,wrong_section,False,0.0,False,True,wrong_section
AMZN_2025_NUMERIC_FACT_ff1491ea,random_context_gpt,wrong_section,False,0.0,False,True,wrong_section
AMZN_2025_NUMERIC_FACT_d8a631a1,baseline_gpt,numeric_unit_error,False,0.0,False,,none
AMZN_2025_NUMERIC_FACT_d8a631a1,rag_gpt_tfidf_top3,correct,False,0.0,True,True,none
AMZN_2025_NUMERIC_FACT_d8a631a1,oracle_gpt,numeric_unit_error,False,0.0,False,True,none
AMZN_2025_NUMERIC_FACT_d8a631a1,random_context_gpt,numeric_unit_error,False,0.0,False,True,none
AMZN_2025_NUMERIC_FACT_5c449187,baseline_gpt,numeric_unit_error,False,0.0,False,,none
AMZN_2025_NUMERIC_FACT_5c449187,rag_gpt_tfidf_top3,correct,False,0.0,True,True,none
AMZN_2025_NUMERIC_FACT_5c449187,oracle_gpt,numeric_unit_error,False,0.0,False,True,none
AMZN_2025_NUMERIC_FACT_5c449187,random_context_gpt,numeric_unit_error,False,0.0,False,True,none
AMZN_2025_NUMERIC_FACT_7553835f,baseline_gpt,numeric_unit_error,False,0.0,False,,none
AMZN_2025_NUMERIC_FACT_7553835f,rag_gpt_tfidf_top3,correct,False,0.0,True,True,none
AMZN_2025_NUMERIC_FACT_7553835f,oracle_gpt,numeric_unit_error,False,0.0,False,True,none
AMZN_2025_NUMERIC_FACT_7553835f,random_context_gpt,numeric_unit_error,False,0.0,False,True,none
AMZN_2025_NUMERIC_FACT_70858911,baseline_gpt,numeric_unit_error,False,0.0,False,,none
AMZN_2025_NUMERIC_FACT_70858911,rag_gpt_tfidf_top3,correct,False,0.0,True,True,none
AMZN_2025_NUMERIC_FACT_70858911,oracle_gpt,numeric_unit_error,False,0.0,False,True,none
AMZN_2025_NUMERIC_FACT_70858911,random_context_gpt,numeric_unit_error,False,0.0,False,True,none
AMZN_2025_NUMERIC_FACT_59cf5e36,baseline_gpt,numeric_unit_error,False,0.0,False,,none
AMZN_2025_NUMERIC_FACT_59cf5e36,rag_gpt_tfidf_top3,correct,False,0.0,True,True,none
AMZN_2025_NUMERIC_FACT_59cf5e36,oracle_gpt,numeric_unit_error,False,0.0,False,True,none
AMZN_2025_NUMERIC_FACT_59cf5e36,random_context_gpt,numeric_unit_error,False,0.0,False,False,none
AMZN_2025_NUMERIC_FACT_b15324d4,baseline_gpt,wrong_section,False,0.0,False,,wrong_section
AMZN_2025_NUMERIC_FACT_b15324d4,rag_gpt_tfidf_top3,wrong_section,False,0.0,False,False,wrong_section
AMZN_2025_NUMERIC_FACT_b15324d4,oracle_gpt,wrong_section,False,0.0,False,True,wrong_section
AMZN_2025_NUMERIC_FACT_b15324d4,random_context_gpt,wrong_section,False,0.0,False,False,wrong_section
AMZN_2025_NUMERIC_FACT_027f3530,baseline_gpt,wrong_section,False,0.0,False,,wrong_section
AMZN_2025_NUMERIC_FACT_027f3530,rag_gpt_tfidf_top3,wrong_section,False,0.0,False,False,wrong_section
AMZN_2025_NUMERIC_FACT_027f3530,oracle_gpt,wrong_section,False,0.0,False,True,wrong_section
AMZN_2025_NUMERIC_FACT_027f3530,random_context_gpt,wrong_section,False,0.0,False,True,wrong_section
AMZN_2025_NUMERIC_FACT_86c42d84,baseline_gpt,wrong_section,False,0.0,False,,wrong_section
AMZN_2025_NUMERIC_FACT_86c42d84,rag_gpt_tfidf_top3,wrong_section,False,0.0,False,False,wrong_section
AMZN_2025_NUMERIC_FACT_86c42d84,oracle_gpt,wrong_section,False,0.0,False,True,wrong_section
AMZN_2025_NUMERIC_FACT_86c42d84,random_context_gpt,wrong_section,False,0.0,False,False,wrong_section
GOOG_2025_NUMERIC_FACT_c019e62f,baseline_gpt,numeric_unit_error,False,0.0,False,,none
GOOG_2025_NUMERIC_FACT_c019e62f,rag_gpt_tfidf_top3,correct,False,0.0,True,True,none
GOOG_2025_NUMERIC_FACT_c019e62f,oracle_gpt,numeric_unit_error,False,0.0,False,True,none
GOOG_2025_NUMERIC_FACT_c019e62f,random_context_gpt,numeric_unit_error,False,0.0,False,True,none
GOOG_2025_NUMERIC_FACT_d2a2f49c,baseline_gpt,wrong_section,False,0.0,False,,wrong_section
GOOG_2025_NUMERIC_FACT_d2a2f49c,rag_gpt_tfidf_top3,wrong_section,False,0.0,False,False,wrong_section
GOOG_2025_NUMERIC_FACT_d2a2f49c,oracle_gpt,wrong_section,False,0.0,False,True,wrong_section
GOOG_2025_NUMERIC_FACT_d2a2f49c,random_context_gpt,wrong_section,False,0.0,False,False,wrong_section
GOOG_2025_NUMERIC_FACT_d3b1e794,baseline_gpt,wrong_section,False,0.0,False,,wrong_section
GOOG_2025_NUMERIC_FACT_d3b1e794,rag_gpt_tfidf_top3,wrong_section,False,0.0,False,False,wrong_section
GOOG_2025_NUMERIC_FACT_d3b1e794,oracle_gpt,wrong_section,False,0.0,False,True,wrong_section
GOOG_2025_NUMERIC_FACT_d3b1e794,random_context_gpt,wrong_section,False,0.0,False,False,wrong_section
GOOG_2025_NUMERIC_FACT_cdd9d072,baseline_gpt,numeric_unit_error,False,0.0,False,,none
GOOG_2025_NUMERIC_FACT_cdd9d072,rag_gpt_tfidf_top3,correct,False,0.0,True,True,none
GOOG_2025_NUMERIC_FACT_cdd9d072,oracle_gpt,numeric_unit_error,False,0.0,False,True,none
GOOG_2025_NUMERIC_FACT_cdd9d072,random_context_gpt,numeric_unit_error,False,0.0,False,True,none
GOOG_2025_NUMERIC_FACT_6c66adff,baseline_gpt,numeric_unit_error,False,0.0,False,,none
GOOG_2025_NUMERIC_FACT_6c66adff,rag_gpt_tfidf_top3,correct,False,0.0,True,True,none
GOOG_2025_NUMERIC_FACT_6c66adff,oracle_gpt,numeric_unit_error,False,0.0,False,True,none
GOOG_2025_NUMERIC_FACT_6c66adff,random_context_gpt,numeric_unit_error,False,0.0,False,True,none
GOOG_2025_NUMERIC_FACT_f34d7971,baseline_gpt,numeric_unit_error,False,0.0,False,,none
GOOG_2025_NUMERIC_FACT_f34d7971,rag_gpt_tfidf_top3,correct,False,0.0,True,True,none
GOOG_2025_NUMERIC_FACT_f34d7971,oracle_gpt,numeric_unit_error,False,0.0,False,True,none
GOOG_2025_NUMERIC_FACT_f34d7971,random_context_gpt,numeric_unit_error,False,0.0,False,True,none
GOOG_2025_NUMERIC_FACT_7a923ada,baseline_gpt,numeric_unit_error,False,0.0,False,,none
GOOG_2025_NUMERIC_FACT_7a923ada,rag_gpt_tfidf_top3,correct,False,0.0,True,True,none
GOOG_2025_NUMERIC_FACT_7a923ada,oracle_gpt,numeric_unit_error,False,0.0,False,True,none
GOOG_2025_NUMERIC_FACT_7a923ada,random_context_gpt,numeric_unit_error,False,0.0,False,False,none
GOOG_2025_NUMERIC_FACT_eb0669ed,baseline_gpt,numeric_unit_error,False,0.0,False,,none
GOOG_2025_NUMERIC_FACT_eb0669ed,rag_gpt_tfidf_top3,correct,False,0.0,True,True,none
GOOG_2025_NUMERIC_FACT_eb0669ed,oracle_gpt,numeric_unit_error,False,0.0,False,True,none
GOOG_2025_NUMERIC_FACT_eb0669ed,random_context_gpt,numeric_unit_error,False,0.0,False,True,none
META_2025_NUMERIC_FACT_37d5a484,baseline_gpt,numeric_unit_error,False,0.0,False,,none
META_2025_NUMERIC_FACT_37d5a484,rag_gpt_tfidf_top3,correct,False,0.0,True,True,none
META_2025_NUMERIC_FACT_37d5a484,oracle_gpt,numeric_unit_error,False,0.0,False,True,none
META_2025_NUMERIC_FACT_37d5a484,random_context_gpt,numeric_unit_error,False,0.0,False,True,none
META_2025_NUMERIC_FACT_c8b1f191,baseline_gpt,numeric_unit_error,False,0.0,False,,none
META_2025_NUMERIC_FACT_c8b1f191,rag_gpt_tfidf_top3,correct,False,0.0,True,True,none
META_2025_NUMERIC_FACT_c8b1f191,oracle_gpt,numeric_unit_error,False,0.0,False,True,none
META_2025_NUMERIC_FACT_c8b1f191,random_context_gpt,numeric_unit_error,False,0.0,False,False,none
META_2025_NUMERIC_FACT_944a90b3,baseline_gpt,numeric_unit_error,False,0.0,False,,none
