question_id,ticker,company,fiscal_year,filing_year,question_type,difficulty,requires_calculation,calculation,gold_evidence_text,gold_chunk_id,relevant_chunk_ids,source_section,source_type,expected_refusal,fact_id,notes,question,answer,normalized_answer,answer_aliases,reviewer_notes,fact_type,generation_mode,generation_model,source_chunk_id,negative_type,plausible_because,unsupported_because,validation_notes
AAPL_2025_NUMERIC_FACT_87f37103,AAPL,Apple,2025,2025,numeric_fact,easy,false,,"Legal Proceedings Item 4. Mine Safety Disclosures Part II Item 5. Market for Registrant’s Common Equity, Related Stockholder Matters and Issuer Purchases of Equity Item 6. [Reserved]",AAPL_2025_10K_table_aware_256_000000_c2b63c,"[""AAPL_2025_10K_table_aware_256_000000_c2b63c""]",Item 3,narrative,false,AAPL_2025_NUME_3e4bc87e,Seeded from deterministic filing fact inventory.,What value did Apple report for legal proceedings item mine safety disclosures part ii in fiscal 2025?,4,4 number,"[""4 number"", ""4""]",,,,,AAPL_2025_10K_table_aware_256_000000_c2b63c,,,,
AAPL_2025_NUMERIC_FACT_01b17ed7,AAPL,Apple,2025,2025,numeric_fact,easy,false,,Management’s Discussion and Analysis of Financial Condition and Results of Operations Item 7A. Quantitative and Qualitative Disclosures About Market Risk Item 8. Financial Statements and Supplementary Data,AAPL_2025_10K_table_aware_256_000001_c3aa5d,"[""AAPL_2025_10K_table_aware_256_000001_c3aa5d""]",Item 7,narrative,false,AAPL_2025_NUME_6b5fa761,Seeded from deterministic filing fact inventory.,What value did Apple report for management s discussion and analysis of financial condition in fiscal 2025?,7,7 number,"[""7 number"", ""7""]",,,,,AAPL_2025_10K_table_aware_256_000001_c3aa5d,,,,
AAPL_2025_NUMERIC_FACT_7bf60a5b,AAPL,Apple,2025,2025,numeric_fact,easy,false,,"Controls and Procedures Item 9B. Other Information Item 9C. Disclosure Regarding Foreign Jurisdictions that Prevent Inspections Part III Item 10. Directors, Executive Officers and Corporate Governance Item 11. Executive Compensation Item 12 Security Ownership of Certain Beneficial Owners and Management and Related Stockholder Matters Item 13 Certain Relationships and Related Transactions, and Director Independence Item 14. Principal Accountant Fees and Services Part IV",AAPL_2025_10K_table_aware_256_000003_e229b4,"[""AAPL_2025_10K_table_aware_256_000003_e229b4""]",Item 9A,narrative,false,AAPL_2025_NUME_613bd896,Seeded from deterministic filing fact inventory.,What value did Apple report for controls and procedures item other information item c in fiscal 2025?,9B,9000 million,"[""9000 million"", ""9B""]",,,,,AAPL_2025_10K_table_aware_256_000003_e229b4,,,,
AAPL_2025_NUMERIC_FACT_798af295,AAPL,Apple,2025,2025,numeric_fact,easy,false,,"Exhibit and Financial Statement Schedules Item 16. Form 10-K Summary This Annual Report on Form 10-K (“Form 10-K”) contains forward-looking statements, within the meaning of the Private Securities Litigation Reform Act of 1995, that involve risks and uncertainties. Many of the forward-looking statements are located in Part I, Item 1 of this Form 10-K under the heading “Business” and Part II, Item 7 of this Form 10-K under the heading “Management’s Discussion and Analysis of Financial Condition and Results of Operations.” Forward-looking statements provide current expectations of future events based on certain assumptions and include any statement that does not directly relate to any historic",AAPL_2025_10K_table_aware_256_000004_cd20f2,"[""AAPL_2025_10K_table_aware_256_000004_cd20f2""]",Item 15,narrative,false,AAPL_2025_NUME_b90b708f,Seeded from deterministic filing fact inventory.,What value did Apple report for exhibit and financial statement schedules item form k in fiscal 2025?,16,16 number,"[""16 number"", ""16""]",,,,,AAPL_2025_10K_table_aware_256_000004_cd20f2,,,,
AAPL_2025_NUMERIC_FACT_1d8568a6,AAPL,Apple,2025,2025,numeric_fact,easy,false,,"that might cause such differences include, but are not limited to, those discussed in Part I, Item 1A of this Form 10-K under the heading “Risk Factors.” The Company assumes no obligation to revise or update any forward-looking statements for any reason, except as required by law. Unless otherwise stated, all information presented herein is based on the Company’s fiscal calendar, and references to particular years, quarters, months or periods refer to the Company’s fiscal years ended in September and the associated quarters, months and periods of those fiscal years. Each of the terms the “Company” and “Apple” as used herein refers collectively to Apple Inc. and its wholly owned subsidiaries,",AAPL_2025_10K_table_aware_256_000005_04868e,"[""AAPL_2025_10K_table_aware_256_000005_04868e""]",Item 15,narrative,false,AAPL_2025_NUME_9dc9e7fd,Seeded from deterministic filing fact inventory.,What value did Apple report for that might cause such differences include but are in fiscal 2025?,1,1 number,"[""1 number"", ""1""]",,,,,AAPL_2025_10K_table_aware_256_000005_04868e,,,,
AAPL_2025_NUMERIC_FACT_8c24b78c,AAPL,Apple,2025,2025,numeric_fact,easy,false,,"Business Company Background The Company designs, manufactures and markets smartphones, personal computers, tablets, wearables and accessories, and sells a variety of related services. The Company’s fiscal year is the 52- or 53-week period that ends on the last Saturday of September. is the Company’s line of smartphones based on its iOS operating system. The iPhone line includes iPhone 17 Pro, iPhone Air™, iPhone 17, iPhone 16 and iPhone 16e. is the Company’s line of personal computers based on its macOS operating system. The Mac line includes laptops MacBook Air and MacBook Pro , as well as desktops iMac , Mac mini , Mac Studio and Mac Pro is the Company’s line of multipurpose tablets based",AAPL_2025_10K_table_aware_256_000006_f964b4,"[""AAPL_2025_10K_table_aware_256_000006_f964b4""]",Item 1,narrative,false,AAPL_2025_NUME_c44203d4,Seeded from deterministic filing fact inventory.,What value did Apple report for business company background the company designs manufactures and in fiscal 2025?,52,52 number,"[""52 number"", ""52""]",,,,,AAPL_2025_10K_table_aware_256_000006_f964b4,,,,
AAPL_2025_NUMERIC_FACT_e8393a7f,AAPL,Apple,2025,2025,numeric_fact,easy,false,,"based on its visionOS operating system. Home includes Apple TV 4K , the Company’s media streaming and gaming device based on its tvOS operating system, and HomePod and HomePod mini , high-fidelity wireless smart speakers. Accessories includes Apple-branded and third-party accessories. Apple Inc. | 2025 Form 10-K | 1 Advertising The Company’s advertising services include third-party licensing arrangements and the Company’s own advertising platforms. AppleCare The Company offers a portfolio of fee-based service and support products under the AppleCare brand. The offerings provide priority access to Apple technical support, access to the global Apple authorized service network for repair and re",AAPL_2025_10K_table_aware_256_000007_876e69,"[""AAPL_2025_10K_table_aware_256_000007_876e69""]",Item 1,narrative,false,AAPL_2025_NUME_4d9d65e7,Seeded from deterministic filing fact inventory.,What value did Apple report for based on its visionos operating system home includes in fiscal 2025?,4,4 number,"[""4 number"", ""4""]",,,,,AAPL_2025_10K_table_aware_256_000007_876e69,,,,
AAPL_2025_NUMERIC_FACT_1fd4ea85,AAPL,Apple,2025,2025,numeric_fact,easy,false,,"the consumer, small and mid-sized business, education, enterprise and government markets. The Company sells its products and resells third-party products in most of its major markets directly to customers through its retail and online stores and its direct sales force. The Company sells its services in the same markets through its various service platforms. The Company also employs a variety of indirect distribution channels, such as third-party cellular network carriers and other resellers, for the sale of its products and certain of its services. During 2025, the Company’s net sales through its direct and indirect distribution channels accounted for 40% and 60%, respectively, of total net",AAPL_2025_10K_table_aware_256_000009_88c4c3,"[""AAPL_2025_10K_table_aware_256_000009_88c4c3""]",Item 1,narrative,false,AAPL_2025_NUME_0aac5647,Seeded from deterministic filing fact inventory.,What value did Apple report for the consumer small and mid sized business education in fiscal 2025?,"2025,",2025 number,"[""2025 number"", ""2025, ""]",,,,,AAPL_2025_10K_table_aware_256_000009_88c4c3,,,,
AAPL_2025_NUMERIC_FACT_080ba473,AAPL,Apple,2025,2025,numeric_fact,easy,false,,"very low cost structures, and by imitating the Company’s products and infringing on its intellectual property. Apple Inc. | 2025 Form 10-K | 2 The Company’s ability to compete successfully depends heavily on ensuring the continuing and timely introduction of innovative new products, services and technologies to the marketplace. The Company designs and develops nearly the entire solution for its products, including the hardware, operating system, numerous software applications and related services. Principal competitive factors important to the Company include price, product and service features (including security features), relative price and performance, product and service quality and rel",AAPL_2025_10K_table_aware_256_000010_5e1856,"[""AAPL_2025_10K_table_aware_256_000010_5e1856""]",Item 1,narrative,false,AAPL_2025_NUME_6a077075,Seeded from deterministic filing fact inventory.,What value did Apple report for very low cost structures and by imitating the in fiscal 2025?,2025,2025 number,"[""2025 number"", ""2025 ""]",,,,,AAPL_2025_10K_table_aware_256_000010_5e1856,,,,
AAPL_2025_NUMERIC_FACT_7f3df982,AAPL,Apple,2025,2025,numeric_fact,easy,false,,"on the innovative skills, technical competence and marketing abilities of its personnel. The Company regularly files patent, design, copyright and trademark applications to protect innovations arising from its hardware, software and service research, development, design and marketing, and is currently pursuing thousands of applications around the world. Over time, the Company has accumulated a large portfolio of issued and registered intellectual property rights around the world. No single intellectual property right is solely responsible for protecting the Company’s products and services. The Company believes the duration of its intellectual property rights is adequate relative to the expec",AAPL_2025_10K_table_aware_256_000014_86bbe6,"[""AAPL_2025_10K_table_aware_256_000014_86bbe6""]",Item 1,narrative,false,AAPL_2025_NUME_c06ed463,Seeded from deterministic filing fact inventory.,What value did Apple report for on the innovative skills technical competence and marketing in fiscal 2025?,2025,2025 number,"[""2025 number"", ""2025 ""]",,,,,AAPL_2025_10K_table_aware_256_000014_86bbe6,,,,
AAPL_2025_NUMERIC_FACT_9c908420,AAPL,Apple,2025,2025,numeric_fact,easy,false,,"terms or at all. Business Seasonality and Product Introductions The Company has historically experienced higher net sales in its first quarter compared to other quarters in its fiscal year due in part to seasonal holiday demand. Additionally, new product and service introductions can significantly impact net sales, cost of sales and operating expenses. The timing of product introductions can also impact the Company’s net sales to its indirect distribution channels as these channels are filled with new inventory following a product launch, and channel inventory of an older product often declines as the launch of a newer product approaches. Net sales can also be affected when consumers and dis",AAPL_2025_10K_table_aware_256_000015_bd7de1,"[""AAPL_2025_10K_table_aware_256_000015_bd7de1""]",Item 1,narrative,false,AAPL_2025_NUME_44da8fd3,Seeded from deterministic filing fact inventory.,What value did Apple report for terms or at all business seasonality and product in fiscal 2025?,"27,",27 number,"[""27 number"", ""27, ""]",,,,,AAPL_2025_10K_table_aware_256_000015_bd7de1,,,,
AAPL_2025_NUMERIC_FACT_7870fb8b,AAPL,Apple,2025,2025,numeric_fact,easy,false,,"of September 27, 2025, the Company had approximately 166,000 full-time equivalent employees. The Company believes that compensation should be competitive and equitable, and offers discretionary cash and equity awards to enable employees to share in the Company’s success. The Company recognizes its people are most likely to thrive when they have the resources to meet their needs and the time and support to succeed in their professional and personal lives. In support of this, the Company offers a wide variety of benefits for employees around the world, including health, wellness and time away. The Company invests in resources to help its people develop and achieve their career goals. The Compa",AAPL_2025_10K_table_aware_256_000016_d89c41,"[""AAPL_2025_10K_table_aware_256_000016_d89c41""]",Item 1,narrative,false,AAPL_2025_NUME_4bc9c5d3,Seeded from deterministic filing fact inventory.,What value did Apple report for of september the company had approximately full time in fiscal 2025?,"27,",27 number,"[""27 number"", ""27, ""]",,,,,AAPL_2025_10K_table_aware_256_000016_d89c41,,,,
AMZN_2025_NUMERIC_FACT_ff1491ea,AMZN,Amazon,2025,2025,numeric_fact,easy,false,,"Exhibits, Financial Statement Schedules Item 16. Form 10-K Summary Signatures PART I",AMZN_2025_10K_table_aware_256_000218_56ad6e,"[""AMZN_2025_10K_table_aware_256_000218_56ad6e""]",Item 15,narrative,false,AMZN_2025_NUME_8f4340c9,Seeded from deterministic filing fact inventory.,What value did Amazon report for exhibits financial statement schedules item form k summary in fiscal 2025?,16,16 number,"[""16 number"", ""16""]",,,,,AMZN_2025_10K_table_aware_256_000218_56ad6e,,,,
AMZN_2025_NUMERIC_FACT_d8a631a1,AMZN,Amazon,2025,2025,numeric_fact,easy,false,,"Business This Annual Report on Form 10-K and the documents incorporated herein by reference contain forward-looking statements based on expectations, estimates, and projections as of the date of this filing. Actual results and outcomes may differ materially from those expressed in forward-looking statements. See Item 1A of Part I — “Risk Factors.” As used herein, “Amazon.com,” “we,” “our,” and similar terms include Amazon.com, Inc. and its subsidiaries, unless the context indicates otherwise. General We seek to be Earth’s most customer-centric company. We are guided by four principles: customer obsession rather than competitor focus, passion for invention, commitment to operational excellenc",AMZN_2025_10K_table_aware_256_000219_8724a7,"[""AMZN_2025_10K_table_aware_256_000219_8724a7""]",Item 1,narrative,false,AMZN_2025_NUME_df807eca,Seeded from deterministic filing fact inventory.,What value did Amazon report for business this annual report on form k and in fiscal 2025?,10,10 number,"[""10 number"", ""10""]",,,,,AMZN_2025_10K_table_aware_256_000219_8724a7,,,,
