chunk_id,chunk_config,ticker,year,section_id,source_type,non_retrievable_reason,text_preview
AAPL_2025_AAPL_Apple_2025_10K_39055237_section_180_narrative_0000,section_180,AAPL,2025,Item 1,narrative,too_short,Item 1. Business 1
AAPL_2025_AAPL_Apple_2025_10K_39055237_section_180_narrative_0001,section_180,AAPL,2025,Item 1A,narrative,too_short,Item 1A. Risk Factors 5
AAPL_2025_AAPL_Apple_2025_10K_39055237_section_180_narrative_0005,section_180,AAPL,2025,Item 1,narrative,header_footer,"® , iPad Air ® , iPad and iPad mini ® . Wearables, Home and Accessories Wearables includes smartwatches, wireless headphones and spatial computers. The Company’s line of smartwatches, based on its watchOS ® operating system, includes Apple "
AAPL_2025_AAPL_Apple_2025_10K_39055237_section_180_narrative_0006,section_180,AAPL,2025,Item 1,narrative,header_footer,/mnt/data/Apple2025_10K.html Services Advertising The Company’s advertising services include third-party licensing arrangements and the Company’s own advertising platforms. AppleCare The Company offers a portfolio of fee-based service and s
AAPL_2025_AAPL_Apple_2025_10K_39055237_section_180_narrative_0009,section_180,AAPL,2025,Item 1,narrative,header_footer,"The Company also employs a variety of indirect distribution channels, such as third-party cellular network carriers and other resellers, for the sale of its products and certain of its services. During 2025, the Company’s net sales through "
AAPL_2025_AAPL_Apple_2025_10K_39055237_section_180_narrative_0010,section_180,AAPL,2025,Item 1,narrative,header_footer,"Many of the Company’s competitors seek to compete primarily through aggressive pricing and very low cost structures, and by imitating the Company’s products and infringing on its intellectual property. Apple Inc. | 2025 Form 10-K | 2 /mnt/d"
AAPL_2025_AAPL_Apple_2025_10K_39055237_section_180_narrative_0016,section_180,AAPL,2025,Item 1,narrative,header_footer,"Although the Company believes the ownership of such intellectual property rights is an important factor in differentiating its business and that its success does depend in part on such ownership, the Company relies primarily on the innovati"
AAPL_2025_AAPL_Apple_2025_10K_39055237_section_180_narrative_0017,section_180,AAPL,2025,Item 1,narrative,header_footer,"Apple Inc. | 2025 Form 10-K | 3 /mnt/data/Apple2025_10K.html In addition to Company-owned intellectual property, many of the Company’s products and services include technology or intellectual property that must be licensed from third partie"
AAPL_2025_AAPL_Apple_2025_10K_39055237_section_180_narrative_0021,section_180,AAPL,2025,Item 1,narrative,header_footer,"Available Information The Company’s Annual Reports on Form 10-K, Quarterly Reports on Form 10-Q, Current Reports on Form 8-K, and amendments to reports filed pursuant to Sections 13(a) and 15(d) of the Securities Exchange Act of 1934, as am"
AAPL_2025_AAPL_Apple_2025_10K_39055237_section_180_narrative_0025,section_180,AAPL,2025,Item 1A,narrative,header_footer,"Uncertainty about, or a decline in, global or regional economic conditions can also have a significant impact on the Company’s suppliers, contract manufacturers, logistics providers, distributors, cellular network carriers and other channel"
AAPL_2025_AAPL_Apple_2025_10K_39055237_section_180_narrative_0026,section_180,AAPL,2025,Item 1A,narrative,header_footer,"Apple Inc. | 2025 Form 10-K | 5 /mnt/data/Apple2025_10K.html The Company’s business can be impacted by political events, trade and other international disputes, geopolitical tensions, conflict, terrorism, natural disasters, public health is"
